Gene stable ID	Gene Name	GenBank ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
FBgn0019809	gcm2	AF184664	34280	34280	protein_coding
FBgn0028560	sut4	AI108221	36055	36055	protein_coding
FBgn0266817	lncRNA:CR45279		19834777	19834777	lncRNA
FBgn0259818	CG42399	AI259555	33176	33176	protein_coding
FBgn0040323	GNBP1	CZ481140	40034	40034	protein_coding
FBgn0266491	SclA	CZ484551	19835657	19835657	protein_coding
FBgn0261848	CG42780		10178796	10178796	protein_coding
FBgn0020909	Rtc1	M15898	32338	32338	protein_coding
FBgn0037421	CG15594	BI368687	40768	40768	protein_coding
FBgn0034158	CG5522	CZ474752	36881	36881	protein_coding
FBgn0086656	shrb	AX094056	35933	35933	protein_coding
FBgn0036975	CG5618	AI296768	40241	40241	protein_coding
FBgn0028836	CSN7	AI945360	35816	35816	protein_coding
FBgn0086370	sra	AW942353	47384	47384	protein_coding
FBgn0032398	CG6766	AY122233	34619	34619	protein_coding
FBgn0265839	lncRNA:CR44628		19835486	19835486	lncRNA
