Gene stable ID	Gene Name	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
AT1G58350	ZW18	ZW18	842204	protein_coding
AT2G02610	AT2G02610	AT2G02610	814790	protein_coding
AT1G34120	IP5PI	IP5PI	840311	protein_coding
AT5G20340	BG5	BG5	832156	protein_coding
AT4G24140	AT4G24140	AT4G24140	828514	protein_coding
AT5G48270	AT5G48270	AT5G48270	834880	protein_coding
AT1G49210	AT1G49210	AT1G49210	841344	protein_coding
AT4G35300	TMT2	TMT2	829684	protein_coding
AT4G07675	AT4G07675	AT4G07675	826237	protein_coding
AT3G61260	AT3G61260	AT3G61260	825298	protein_coding
AT2G21727	AT2G21727	AT2G21727	5007895	protein_coding
AT3G09130	AT3G09130	AT3G09130	820067	protein_coding
AT5G09550	GDI	GDI	830814	protein_coding
AT5G05900	AT5G05900	AT5G05900	830475	protein_coding
AT1G10040	AT1G10040	AT1G10040	837539	protein_coding
AT1G50750	AT1G50750	AT1G50750	841497	protein_coding
AT3G05460	AT3G05460	AT3G05460	819711	protein_coding
AT1G67100	LBD40	LBD40	843030	protein_coding
AT4G01150	AT4G01150	AT4G01150	828181	protein_coding
AT1G65180	AT1G65180	AT1G65180	842825	protein_coding
AT3G55730	MYB109	MYB109	824739	protein_coding
AT5G17810	WOX12	WOX12	831649	protein_coding
AT1G06310	ACX6	ACX6	837141	protein_coding
AT1G36325	AT1G36325	AT1G36325	28717314	protein_coding
AT3G09455	AT3G09455	AT3G09455	28719217	protein_coding
AT1G24110	AT1G24110	AT1G24110	839023	protein_coding
AT1G27950	LTPG1	LTPG1	839688	protein_coding
AT3G46450	AT3G46450	AT3G46450	823795	protein_coding
AT3G13860	HSP60-3A	HSP60-3A	820599	protein_coding
AT5G39820	NAC094	NAC094	833978	protein_coding
AT4G15850	RH1	RH1	827266	protein_coding
AT3G21870	CYCP2;1	CYCP2;1	821742	protein_coding
AT1G34840	AT1G34840	AT1G34840	5007762	protein_coding
AT1G54385	AT1G54385	AT1G54385	841880	protein_coding
